total_steps,episode_reward,episode_length,crashed
10425,54.586945,81,1
10526,69.54348,101,1
10623,65.978226,97,1
10676,35.2174,53,1
10780,68.108635,104,1
11003,151.02177,223,0
11094,61.195637,91,1
11213,81.467285,119,1
11263,33.30435,50,1
11336,49.15217,73,1
11394,39.326088,58,1
11473,53.799217,79,1
11589,77.586914,116,1
11815,154.361,226,1
11947,90.08702,132,1
12098,100.57056,151,1
12193,64.391304,95,1
12361,115.67408,168,1
12425,43.26086,64,1
12468,29.152168,43,0
12515,31.891298,47,0
12570,37.3913,55,0
12810,162.95691,240,1
12881,47.646225,71,1
13004,84.97811,123,1
13166,111.434685,162,1
13280,77.012505,114,0
13409,88.45893,129,0
13456,31.608698,47,1
13618,109.04356,162,1
13693,51.077583,75,1
13745,33.73914,52,1
13872,85.543434,127,1
14181,211.78352,309,1
14223,28.304346,42,1
14272,33.326084,49,1
14377,72.3696,105,1
14550,118.782776,173,1
14788,160.17406,238,1
14907,80.04356,119,1
15125,149.79338,218,1
15207,55.999992,82,1
15373,114.20886,166,0
15451,52.130383,78,0
15625,117.73921,174,1
15898,181.76126,273,1
15982,56.065212,84,1
16176,131.17403,194,1
16269,62.80433,93,0
16311,27.543478,42,1
16407,63.54345,96,0
16663,172.30011,256,1
16956,194.73296,293,1
17103,98.94978,147,1
17218,75.108604,115,1
17325,71.49998,107,1
17394,45.16089,69,1
17541,97.82733,147,1
17737,134.4132,196,1
18003,179.58742,266,1
18054,32.782608,51,0
18165,75.152214,111,1
18361,128.56516,196,1
18446,57.5,85,1
18639,131.93506,193,1
18782,97.7827,143,1
19007,153.39146,225,1
19287,189.13065,280,1
19368,52.47821,81,1
19372,2.0217392,4,0
19628,172.8237,256,1
19831,135.28273,203,1
19968,91.869644,137,1
20422,307.4488,454,1
20537,79.04355,115,1
20641,69.79526,104,1
20803,111.46387,162,1
20888,57.82608,85,1
21180,197.60925,292,0
21409,156.6744,229,0
21562,103.282745,153,1
21787,150.63068,225,1
22011,153.00168,224,1
22282,183.69598,271,1
22410,86.84065,128,1
22673,178.9353,263,1
22891,148.12306,218,1
23125,159.06537,234,1
23356,154.78261,231,1
23497,96.46117,141,1
23703,140.21754,206,1
23791,59.999992,88,1
23898,73.13043,107,1
23999,65.93469,101,1
24244,168.08704,245,1
24443,136.00035,199,1
24522,53.630424,79,0
24732,143.36986,210,1
24985,172.03055,253,1
25059,50.43476,74,0
25251,132.28932,192,1
25751,339.63043,500,0
25934,125.632164,183,0
26170,159.23636,236,0
26434,185.0895,264,1
26752,214.183,318,1
27023,185.61662,271,1
27212,124.565285,189,0
27349,90.089935,137,1
27504,105.935,155,1
27693,129.03505,189,1
27813,81.956535,120,1
28077,178.09604,264,0
28477,270.19568,400,1
28646,113.80443,169,1
28878,158.47002,232,1
29144,181.10887,266,1
29533,261.94263,389,1
29890,241.26074,357,1
30009,81.60878,119,1
30365,239.04086,356,1
30865,338.35275,500,0
31213,235.92157,348,1
31334,81.33113,121,1
31541,140.61082,207,1
31729,126.78265,188,1
31853,85.323,124,0
32127,187.97551,274,1
32445,216.15265,318,1
32739,199.36975,294,1
32952,146.10837,213,1
33017,42.652153,65,1
33409,265.02176,392,1
33638,156.77075,229,1
33751,76.43481,113,1
34025,185.41356,274,1
34162,93.60873,137,1
34257,63.434746,95,1
34566,205.35919,309,1
34687,82.28269,121,1
34958,183.40057,271,1
35170,146.45674,212,1
35451,191.42197,281,1
35616,113.27119,165,1
36037,288.86475,421,1
36205,113.17403,168,1
36426,146.86975,221,1
36704,189.09764,278,1
36947,164.91348,243,1
37086,92.869514,139,1
37433,235.91283,347,1
37516,56.023457,83,0
37685,115.41586,169,1
37759,49.499985,74,0
37984,155.1681,225,1
38243,178.79655,259,1
38457,145.17418,214,1
38896,297.8403,439,1
39201,204.60863,305,1
39604,270.72342,403,1
39815,143.89171,211,1
39999,121.56531,184,1
40483,330.19965,484,1
40546,41.891308,63,0
40779,158.9351,233,1
41103,219.64238,324,1
41236,87.67393,133,1
41447,145.08702,211,1
41600,105.60889,153,1
41769,112.565346,169,0
41973,135.76096,204,0
42149,119.78287,176,1
42403,172.91351,254,1
42735,228.3592,332,1
43014,187.73831,279,0
43187,118.26109,173,0
43508,216.73886,321,1
43796,190.60912,288,1
44020,152.84828,224,1
44110,58.173843,90,1
44252,97.00017,142,1
44526,182.02206,274,1
44872,236.0003,346,0
45169,201.23962,297,1
45481,211.91344,312,1
45690,141.63058,209,1
46092,273.59613,402,0
46365,184.3608,273,1
46563,132.28278,198,0
46799,162.52211,236,1
46929,85.08695,130,1
47145,146.0758,216,1
47313,112.043434,168,1
47593,186.78304,280,1
47740,97.391335,147,1
48007,179.60886,267,1
48214,139.2392,207,1
48680,314.3481,466,1
48952,185.31618,272,1
49147,132.91312,195,1
49433,194.00906,286,1
49686,174.46552,253,1
49927,163.31943,241,1
50003,51.21739,76,0
50270,182.21843,267,1
50565,200.31387,295,1
51065,340.3696,500,0
51354,197.76126,289,1
51496,94.28265,142,1
51781,191.76097,285,1
51989,143.00026,208,1
52145,104.86947,156,1
52395,168.36998,250,1
52584,128.15239,189,1
52822,163.4242,238,1
52974,101.695656,152,1
53223,168.17395,249,1
53483,178.23296,260,1
53784,203.36862,301,0
54165,257.87665,381,1
54460,200.2295,295,1
54658,132.4893,198,1
54831,116.84802,173,0
55114,189.32089,283,1
55234,82.82617,120,1
55365,90.326195,131,1
55579,145.10893,214,1
55760,120.500435,181,0
56006,166.61537,246,1
