episode,global_step,episode_reward,episode_length,epsilon,avg_loss,crashed,train_density
403,7357,6.760153704448714,8,0.30108500000000005,0.12608985090628266,1,0.8
404,7366,7.792277712186989,9,0.30023,0.09706138591799471,1,0.8
405,7373,5.955584371225402,7,0.2995650000000001,0.10459639132022858,1,0.8
406,7382,7.953463614364319,9,0.29871000000000003,0.09530709849463569,1,0.8
407,7388,4.957168006567855,6,0.29814000000000007,0.0910953301936388,1,0.8
408,7395,6.045387101594307,7,0.29747499999999993,0.11016462530408587,1,0.8
409,7418,21.745870520789175,23,0.29529000000000005,0.09473559640995834,1,0.8
410,7423,3.953524034131285,5,0.29481500000000005,0.11491983681917191,1,0.8
411,7434,10.190059949575176,11,0.2937700000000001,0.10029358179731802,1,0.8
412,7458,20.25874934045959,24,0.29149,0.1047125196394821,1,0.8
413,7481,21.349462547279952,23,0.28930500000000003,0.11696779889904935,1,0.8
414,7484,1.6000542239715385,3,0.28902000000000005,0.10877645388245583,1,0.8
415,7492,6.555380654463331,8,0.28826000000000007,0.12111189495772123,1,0.8
416,7496,2.9592167598122607,4,0.28788,0.08945575170218945,1,0.8
417,7506,8.95162649072097,10,0.28693,0.12470622006803751,1,0.8
418,7523,15.550462889247935,17,0.2853150000000001,0.08609522506594658,1,0.8
